"Job ID","Project","Start","End","State","#Nodes","#Cores","#GPUs","Exclusive","Walltime","Pending","Duration","Core Hours","Used Walltime","Partition"
"17380317","p_lv_internet","04/06/2025 15:00:26","04/06/2025 15:30:33","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 20s","00d 00h 30min 07s","3.01","100.39","barnard"
"17379406","p_lv_internet","04/06/2025 12:40:33","04/06/2025 12:55:02","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 26s","00d 00h 14min 29s","1.45","48.28","barnard"
"17379126","p_lv_internet","04/06/2025 12:05:10","04/06/2025 12:35:30","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 04s","00d 00h 30min 20s","3.03","101.11","barnard"
"17378943","p_lv_internet","04/06/2025 11:30:19","04/06/2025 12:00:30","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 11s","00d 00h 30min 11s","3.02","100.61","barnard"
"17378862","p_lv_internet","04/06/2025 10:45:55","04/06/2025 10:50:07","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 04s","00d 00h 04min 12s","0.42","14","barnard"
"17378735","p_lv_internet","04/06/2025 10:20:16","04/06/2025 10:35:14","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 09s","00d 00h 14min 58s","1.50","49.89","barnard"
"17378666","p_lv_internet","04/06/2025 10:00:10","04/06/2025 10:10:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 02s","00d 00h 09min 56s","0.99","33.11","barnard"
"17378416","p_lv_internet","04/06/2025 09:15:56","04/06/2025 09:25:02","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 05s","00d 00h 09min 06s","0.91","30.33","barnard"
"17377824","p_lv_internet","04/06/2025 08:30:12","04/06/2025 08:40:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 06s","00d 00h 09min 54s","0.99","33","barnard"
"17353918","p_lv_internet","03/06/2025 19:10:16","03/06/2025 19:35:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 10s","00d 00h 24min 50s","2.48","82.78","barnard"
"17351731","p_lv_internet","03/06/2025 18:35:27","03/06/2025 19:05:32","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 20s","00d 00h 30min 05s","3.01","100.28","barnard"
